X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
301828.07083944,9156929.78398628,5671,PURWANTO,Kroya,Rokok Kretek,5,0,,175000,0,175000,175000,109.203589800000003,-7.623340946000000
303773.190577608,9159088.81004999,5672,RADIN,Kroya,Wuwu,2,0,,171000,0,171000,171000,109.221296800000005,-7.603893288000000
302566.222632231,9153607.64771919,5676,YULIANA,Kroya,Roti Basah,2,0,P-IRT,170227,0,170227,170227,109.210153800000001,-7.653404983000000
306749.960957875,9160741.88405863,5677,SUDARNO,Kroya,P. Sari Jamu,3,0,,167680,0,167680,167680,109.248331699999994,-7.589056825000000
303753.98062094,9153529.58264572,5689,RISKY,Kroya,Batik,2,0,,158400,0,158400,158400,109.220915000000005,-7.654155352000000
303935.025994095,9155024.78681984,5692,YUSWANTO,Kroya,Sapu Lidi,7,0,,150000,0,150000,150000,109.222611700000002,-7.640643495000000
303526.295241879,9158819.3417168,5694,AHMAD SUFICHUDI,Kroya,Bahan Pokok,2,0,SIUP/TDP,146000,0,146000,146000,109.219049499999997,-7.606320460000000
308786.264999274,9160319.75311942,5695,AGUNG,Kroya,Bahan Material Bangunan,2,2,,144000,0,144000,144000,109.266768200000001,-7.592947518000000
304903.193864977,9159248.06330645,5696,DARSA,Kroya,Bahan Pokok,3,0,SIUP/TDP,144000,0,144000,144000,109.231542300000001,-7.602495280000000
306473.696823955,9155930.14165593,5700,BAROKAH MANDIRI,Kroya,Bahan Pokok,2,0,SIUP TDP,144000,0,144000,144000,109.245651499999994,-7.632551872000000
302485.528309238,9155977.64865772,5707,R. BINTARO ARDISURYO Amd,Kroya,Bakpia,3,0,P-IRT,142828,0,142828,142828,109.209511800000001,-7.631974148000000
304629.029138053,9156483.67780455,5710,SUMODIARTO Su,Kroya,Bahan Pokok,2,0,SIUP/TDP,142800,0,142800,142800,109.228955299999996,-7.627478978000000
302577.151779298,9155323.76969115,5711,RUSTINAH,Kroya,Bahan Pokok,6,0,SIUP/TDP,142272,0,142272,142272,109.210317500000002,-7.637889482000000
309343.048608148,9155511.31843783,5714,SARWAN,Kroya,Perajin Tahu,3,0,,140026,0,140026,140026,109.271639300000004,-7.636443449000000
307810.886222184,9156681.40578286,5715,SUTIRAH,Kroya,Batik,2,0,,132000,0,132000,132000,109.257796999999997,-7.625808329000000
310363.518560809,9156017.60164556,5718,DARMO,Kroya,Wuwu,2,0,,129600,0,129600,129600,109.280905599999997,-7.631902731000000
306870.622227369,9157128.39355687,5722,SUNARSIH,Kroya,Photo Copy,6,0,SIUP/TDP,125000,0,125000,125000,109.249292600000004,-7.621732506000000
308725.186059141,9154679.38947349,5725,MAD SAUDIN,Kroya,Perajin Tempe,6,0,,123552,0,123552,123552,109.266009600000004,-7.643942930000000
